"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of chromatin","GO:0030527","true","7.561205239046834e-14","13.121408973420946","100","484","23","20212","ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000184270,ENSG00000188486,ENSG00000115163,ENSG00000124610,ENSG00000286522,ENSG00000278463,ENSG00000277224,ENSG00000277775,ENSG00000273983,ENSG00000278588,ENSG00000196787,ENSG00000274997,ENSG00000276368,ENSG00000276903,ENSG00000275221,ENSG00000233822,ENSG00000184357,ENSG00000275126,ENSG00000278677,ENSG00000274641"
"GO:MF","microtubule binding","GO:0008017","true","7.839796557279027e-14","13.10569520711116","278","484","36","20212","ENSG00000142945,ENSG00000134222,ENSG00000143228,ENSG00000118193,ENSG00000117724,ENSG00000138182,ENSG00000138160,ENSG00000121621,ENSG00000161800,ENSG00000139354,ENSG00000165480,ENSG00000126787,ENSG00000128944,ENSG00000137804,ENSG00000137807,ENSG00000198901,ENSG00000166851,ENSG00000079616,ENSG00000076382,ENSG00000186185,ENSG00000089685,ENSG00000080986,ENSG00000154839,ENSG00000161888,ENSG00000131351,ENSG00000153094,ENSG00000101447,ENSG00000157601,ENSG00000075218,ENSG00000138778,ENSG00000112984,ENSG00000198624,ENSG00000237649,ENSG00000129422,ENSG00000186638,ENSG00000090889"
"GO:MF","tubulin binding","GO:0015631","false","2.329015643433871e-11","10.632827594404695","389","484","39","20212","ENSG00000142945,ENSG00000134222,ENSG00000143228,ENSG00000118193,ENSG00000117724,ENSG00000138182,ENSG00000138160,ENSG00000121621,ENSG00000161800,ENSG00000139354,ENSG00000165480,ENSG00000139618,ENSG00000126787,ENSG00000128944,ENSG00000137804,ENSG00000137807,ENSG00000198901,ENSG00000166851,ENSG00000079616,ENSG00000076382,ENSG00000012048,ENSG00000186185,ENSG00000089685,ENSG00000080986,ENSG00000154839,ENSG00000161888,ENSG00000131351,ENSG00000153094,ENSG00000101447,ENSG00000157601,ENSG00000075218,ENSG00000145335,ENSG00000138778,ENSG00000112984,ENSG00000198624,ENSG00000237649,ENSG00000129422,ENSG00000186638,ENSG00000090889"
"GO:MF","protein binding","GO:0005515","false","3.706170145202634e-11","10.431074646693745","14838","484","422","20212","ENSG00000187634,ENSG00000007968,ENSG00000117318,ENSG00000127423,ENSG00000092853,ENSG00000134690,ENSG00000183682,ENSG00000049089,ENSG00000171793,ENSG00000117399,ENSG00000142945,ENSG00000085999,ENSG00000123473,ENSG00000085840,ENSG00000157193,ENSG00000152760,ENSG00000024526,ENSG00000162595,ENSG00000097046,ENSG00000099260,ENSG00000134222,ENSG00000183508,ENSG00000116882,ENSG00000188610,ENSG00000215784,ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000184270,ENSG00000143452,ENSG00000183856,ENSG00000143248,ENSG00000143228,ENSG00000143196,ENSG00000116194,ENSG00000066279,ENSG00000118193,ENSG00000077152,ENSG00000170498,ENSG00000196550,ENSG00000117650,ENSG00000117724,ENSG00000143786,ENSG00000163050,ENSG00000174371,ENSG00000162722,ENSG00000187134,ENSG00000065328,ENSG00000204176,ENSG00000266524,ENSG00000122952,ENSG00000107984,ENSG00000170312,ENSG00000138347,ENSG00000107731,ENSG00000185745,ENSG00000138182,ENSG00000138160,ENSG00000138180,ENSG00000138185,ENSG00000065618,ENSG00000148773,ENSG00000185885,ENSG00000161328,ENSG00000129757,ENSG00000181649,ENSG00000166833,ENSG00000121621,ENSG00000189057,ENSG00000168496,ENSG00000149503,ENSG00000146670,ENSG00000175592,ENSG00000131620,ENSG00000054967,ENSG00000170962,ENSG00000188486,ENSG00000154127,ENSG00000110002,ENSG00000064309,ENSG00000151503,ENSG00000111206,ENSG00000111665,ENSG00000111341,ENSG00000111728,ENSG00000087494,ENSG00000135451,ENSG00000123416,ENSG00000167553,ENSG00000135472,ENSG00000161800,ENSG00000050438,ENSG00000135476,ENSG00000123374,ENSG00000156076,ENSG00000127324,ENSG00000072041,ENSG00000139354,ENSG00000174600,ENSG00000165480,ENSG00000139618,ENSG00000133110,ENSG00000136122,ENSG00000136160,ENSG00000102524,ENSG00000198805,ENSG00000165821,ENSG00000151322,ENSG00000139874,ENSG00000100479,ENSG00000100526,ENSG00000198554,ENSG00000126787,ENSG00000054654,ENSG00000070182,ENSG00000119630,ENSG00000126215,ENSG00000185100,ENSG00000170779,ENSG00000156970,ENSG00000128944,ENSG00000137812,ENSG00000051180,ENSG00000104147,ENSG00000137804,ENSG00000186417,ENSG00000166035,ENSG00000157456,ENSG00000166803,ENSG00000103710,ENSG00000128973,ENSG00000137807,ENSG00000140534,ENSG00000140525,ENSG00000198901,ENSG00000005513,ENSG00000162062,ENSG00000162063,ENSG00000127564,ENSG00000118898,ENSG00000167191,ENSG00000166851,ENSG00000103522,ENSG00000103485,ENSG00000079616,ENSG00000171241,ENSG00000091651,ENSG00000103005,ENSG00000166451,ENSG00000167513,ENSG00000187741,ENSG00000132386,ENSG00000074370,ENSG00000161921,ENSG00000129195,ENSG00000108947,ENSG00000178999,ENSG00000065320,ENSG00000166482,ENSG00000108602,ENSG00000072210,ENSG00000076382,ENSG00000176208,ENSG00000131747,ENSG00000221852,ENSG00000131737,ENSG00000171346,ENSG00000131470,ENSG00000012048,ENSG00000125319,ENSG00000161692,ENSG00000186185,ENSG00000154920,ENSG00000166292,ENSG00000183691,ENSG00000136492,ENSG00000182481,ENSG00000108984,ENSG00000108950,ENSG00000167861,ENSG00000176170,ENSG00000161544,ENSG00000167900,ENSG00000089685,ENSG00000141574,ENSG00000080986,ENSG00000134769,ENSG00000154839,ENSG00000150636,ENSG00000197971,ENSG00000176619,ENSG00000276043,ENSG00000167772,ENSG00000090339,ENSG00000129355,ENSG00000161888,ENSG00000127528,ENSG00000131351,ENSG00000213999,ENSG00000075702,ENSG00000011332,ENSG00000105193,ENSG00000108106,ENSG00000205795,ENSG00000171848,ENSG00000178295,ENSG00000115163,ENSG00000055813,ENSG00000168874,ENSG00000121152,ENSG00000115594,ENSG00000169679,ENSG00000153094,ENSG00000115919,ENSG00000168702,ENSG00000153234,ENSG00000115267,ENSG00000239474,ENSG00000091409,ENSG00000144354,ENSG00000168542,ENSG00000144395,ENSG00000162944,ENSG00000163535,ENSG00000082126,ENSG00000115461,ENSG00000171951,ENSG00000153820,ENSG00000123485,ENSG00000115687,ENSG00000125885,ENSG00000172296,ENSG00000125864,ENSG00000125848,ENSG00000154930,ENSG00000125968,ENSG00000088325,ENSG00000101447,ENSG00000064205,ENSG00000175063,ENSG00000087586,ENSG00000159147,ENSG00000157601,ENSG00000160223,ENSG00000093009,ENSG00000183963,ENSG00000100297,ENSG00000100336,ENSG00000075218,ENSG00000177989,ENSG00000196220,ENSG00000144554,ENSG00000129810,ENSG00000151090,ENSG00000168032,ENSG00000163815,ENSG00000164045,ENSG00000183763,ENSG00000163947,ENSG00000044524,ENSG00000163507,ENSG00000184307,ENSG00000185565,ENSG00000051341,ENSG00000014257,ENSG00000181804,ENSG00000169908,ENSG00000047457,ENSG00000114771,ENSG00000169860,ENSG00000113810,ENSG00000196542,ENSG00000075651,ENSG00000114346,ENSG00000090539,ENSG00000163918,ENSG00000136514,ENSG00000114315,ENSG00000189058,ENSG00000159674,ENSG00000068078,ENSG00000013810,ENSG00000109625,ENSG00000109805,ENSG00000126549,ENSG00000109321,ENSG00000145335,ENSG00000138778,ENSG00000205403,ENSG00000138658,ENSG00000164109,ENSG00000145386,ENSG00000142731,ENSG00000164116,ENSG00000164104,ENSG00000071539,ENSG00000067113,ENSG00000123219,ENSG00000134057,ENSG00000153044,ENSG00000228716,ENSG00000113368,ENSG00000158402,ENSG00000112984,ENSG00000113070,ENSG00000169247,ENSG00000169252,ENSG00000198624,ENSG00000170271,ENSG00000164330,ENSG00000164611,ENSG00000072571,ENSG00000040275,ENSG00000214357,ENSG00000213347,ENSG00000112312,ENSG00000124610,ENSG00000286522,ENSG00000278463,ENSG00000026950,ENSG00000111801,ENSG00000277224,ENSG00000277775,ENSG00000273983,ENSG00000278588,ENSG00000196787,ENSG00000274997,ENSG00000276368,ENSG00000276903,ENSG00000275221,ENSG00000233822,ENSG00000184357,ENSG00000275126,ENSG00000278677,ENSG00000274641,ENSG00000137310,ENSG00000204410,ENSG00000166278,ENSG00000243649,ENSG00000204228,ENSG00000237649,ENSG00000010030,ENSG00000112742,ENSG00000123500,ENSG00000146374,ENSG00000203760,ENSG00000197594,ENSG00000112303,ENSG00000146410,ENSG00000164440,ENSG00000112029,ENSG00000255690,ENSG00000241644,ENSG00000011426,ENSG00000164776,ENSG00000127951,ENSG00000135218,ENSG00000019991,ENSG00000006634,ENSG00000008277,ENSG00000004799,ENSG00000244219,ENSG00000106366,ENSG00000173114,ENSG00000184408,ENSG00000106278,ENSG00000128567,ENSG00000106462,ENSG00000174469,ENSG00000196584,ENSG00000146918,ENSG00000253958,ENSG00000129422,ENSG00000168453,ENSG00000159167,ENSG00000042980,ENSG00000120915,ENSG00000168079,ENSG00000171320,ENSG00000168078,ENSG00000147465,ENSG00000176907,ENSG00000147536,ENSG00000104738,ENSG00000197275,ENSG00000156509,ENSG00000164794,ENSG00000187955,ENSG00000156804,ENSG00000173334,ENSG00000155897,ENSG00000104415,ENSG00000160957,ENSG00000147883,ENSG00000165272,ENSG00000186638,ENSG00000165304,ENSG00000198963,ENSG00000172159,ENSG00000123975,ENSG00000169071,ENSG00000106809,ENSG00000106823,ENSG00000127083,ENSG00000185920,ENSG00000136943,ENSG00000165029,ENSG00000185585,ENSG00000186193,ENSG00000188229,ENSG00000198759,ENSG00000046653,ENSG00000181544,ENSG00000165197,ENSG00000102174,ENSG00000090889,ENSG00000186871,ENSG00000126950,ENSG00000102384,ENSG00000155962,ENSG00000143333,ENSG00000100505"
"GO:MF","ATP binding","GO:0005524","true","3.04014170358273e-8","7.517106173085397","1500","484","78","20212","ENSG00000171793,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000097046,ENSG00000169418,ENSG00000118193,ENSG00000077152,ENSG00000117650,ENSG00000163050,ENSG00000170312,ENSG00000138182,ENSG00000138160,ENSG00000138185,ENSG00000148773,ENSG00000166833,ENSG00000121621,ENSG00000123374,ENSG00000126215,ENSG00000156970,ENSG00000051180,ENSG00000137807,ENSG00000127564,ENSG00000166851,ENSG00000079616,ENSG00000074370,ENSG00000178999,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000108984,ENSG00000108950,ENSG00000176170,ENSG00000167900,ENSG00000108106,ENSG00000169679,ENSG00000115267,ENSG00000115687,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000175063,ENSG00000087586,ENSG00000100297,ENSG00000168032,ENSG00000044524,ENSG00000051341,ENSG00000169860,ENSG00000113810,ENSG00000163918,ENSG00000068078,ENSG00000138778,ENSG00000142731,ENSG00000071539,ENSG00000112984,ENSG00000204410,ENSG00000237649,ENSG00000112742,ENSG00000197594,ENSG00000164776,ENSG00000004799,ENSG00000196584,ENSG00000168078,ENSG00000104738,ENSG00000197275,ENSG00000173334,ENSG00000155897,ENSG00000160957,ENSG00000186638,ENSG00000165304,ENSG00000169071,ENSG00000165029,ENSG00000090889,ENSG00000186871"
"GO:MF","carbohydrate derivative binding","GO:0097367","false","4.9525167671600445e-8","7.305174045446607","2304","484","104","20212","ENSG00000171793,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000162595,ENSG00000097046,ENSG00000116882,ENSG00000169418,ENSG00000118193,ENSG00000077152,ENSG00000117650,ENSG00000163050,ENSG00000170312,ENSG00000138182,ENSG00000138160,ENSG00000138185,ENSG00000065618,ENSG00000148773,ENSG00000166833,ENSG00000121621,ENSG00000123416,ENSG00000167553,ENSG00000123374,ENSG00000133110,ENSG00000198805,ENSG00000119630,ENSG00000126215,ENSG00000185100,ENSG00000156970,ENSG00000051180,ENSG00000166035,ENSG00000103710,ENSG00000128973,ENSG00000137807,ENSG00000127564,ENSG00000166851,ENSG00000079616,ENSG00000074370,ENSG00000178999,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000108984,ENSG00000108950,ENSG00000176170,ENSG00000167900,ENSG00000108106,ENSG00000169679,ENSG00000115267,ENSG00000115687,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000064205,ENSG00000175063,ENSG00000087586,ENSG00000157601,ENSG00000100297,ENSG00000168032,ENSG00000163815,ENSG00000044524,ENSG00000051341,ENSG00000169860,ENSG00000113810,ENSG00000163918,ENSG00000159674,ENSG00000068078,ENSG00000138778,ENSG00000142731,ENSG00000164116,ENSG00000071539,ENSG00000112984,ENSG00000113070,ENSG00000072571,ENSG00000124610,ENSG00000204410,ENSG00000237649,ENSG00000112742,ENSG00000146374,ENSG00000197594,ENSG00000255690,ENSG00000164776,ENSG00000004799,ENSG00000196584,ENSG00000168078,ENSG00000104738,ENSG00000197275,ENSG00000173334,ENSG00000155897,ENSG00000104415,ENSG00000160957,ENSG00000186638,ENSG00000165304,ENSG00000169071,ENSG00000106823,ENSG00000185920,ENSG00000165029,ENSG00000188229,ENSG00000090889,ENSG00000186871"
"GO:MF","ATP-dependent activity","GO:0140657","true","1.0715339738865268e-7","6.9699940547317745","580","484","42","20212","ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000118193,ENSG00000138182,ENSG00000138160,ENSG00000166833,ENSG00000121621,ENSG00000126215,ENSG00000051180,ENSG00000137807,ENSG00000079616,ENSG00000074370,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000115267,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000100297,ENSG00000051341,ENSG00000113810,ENSG00000163918,ENSG00000138778,ENSG00000138658,ENSG00000071539,ENSG00000112984,ENSG00000204410,ENSG00000237649,ENSG00000196584,ENSG00000104738,ENSG00000197275,ENSG00000160957,ENSG00000186638,ENSG00000165029,ENSG00000090889,ENSG00000186871"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","false","1.9342670458861475e-7","6.713483567197945","1560","484","78","20212","ENSG00000171793,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000097046,ENSG00000169418,ENSG00000118193,ENSG00000077152,ENSG00000117650,ENSG00000163050,ENSG00000170312,ENSG00000138182,ENSG00000138160,ENSG00000138185,ENSG00000148773,ENSG00000166833,ENSG00000121621,ENSG00000123374,ENSG00000126215,ENSG00000156970,ENSG00000051180,ENSG00000137807,ENSG00000127564,ENSG00000166851,ENSG00000079616,ENSG00000074370,ENSG00000178999,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000108984,ENSG00000108950,ENSG00000176170,ENSG00000167900,ENSG00000108106,ENSG00000169679,ENSG00000115267,ENSG00000115687,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000175063,ENSG00000087586,ENSG00000100297,ENSG00000168032,ENSG00000044524,ENSG00000051341,ENSG00000169860,ENSG00000113810,ENSG00000163918,ENSG00000068078,ENSG00000138778,ENSG00000142731,ENSG00000071539,ENSG00000112984,ENSG00000204410,ENSG00000237649,ENSG00000112742,ENSG00000197594,ENSG00000164776,ENSG00000004799,ENSG00000196584,ENSG00000168078,ENSG00000104738,ENSG00000197275,ENSG00000173334,ENSG00000155897,ENSG00000160957,ENSG00000186638,ENSG00000165304,ENSG00000169071,ENSG00000165029,ENSG00000090889,ENSG00000186871"
"GO:MF","ATP-dependent activity, acting on DNA","GO:0008094","false","4.5042898964345957e-7","6.346373666031865","123","484","18","20212","ENSG00000085999,ENSG00000166833,ENSG00000126215,ENSG00000051180,ENSG00000176208,ENSG00000131747,ENSG00000136492,ENSG00000125885,ENSG00000100297,ENSG00000051341,ENSG00000163918,ENSG00000138658,ENSG00000204410,ENSG00000196584,ENSG00000104738,ENSG00000197275,ENSG00000160957,ENSG00000186871"
"GO:MF","adenyl nucleotide binding","GO:0030554","false","6.384239268284043e-7","6.194890844879725","1661","484","80","20212","ENSG00000171793,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000097046,ENSG00000169418,ENSG00000118193,ENSG00000077152,ENSG00000117650,ENSG00000163050,ENSG00000170312,ENSG00000138182,ENSG00000138160,ENSG00000138185,ENSG00000148773,ENSG00000166833,ENSG00000121621,ENSG00000123374,ENSG00000126215,ENSG00000156970,ENSG00000051180,ENSG00000137807,ENSG00000127564,ENSG00000166851,ENSG00000079616,ENSG00000074370,ENSG00000178999,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000108984,ENSG00000108950,ENSG00000176170,ENSG00000167900,ENSG00000108106,ENSG00000169679,ENSG00000115267,ENSG00000115687,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000175063,ENSG00000087586,ENSG00000100297,ENSG00000168032,ENSG00000044524,ENSG00000051341,ENSG00000169860,ENSG00000113810,ENSG00000163918,ENSG00000068078,ENSG00000138778,ENSG00000142731,ENSG00000071539,ENSG00000228716,ENSG00000112984,ENSG00000204410,ENSG00000204228,ENSG00000237649,ENSG00000112742,ENSG00000197594,ENSG00000164776,ENSG00000004799,ENSG00000196584,ENSG00000168078,ENSG00000104738,ENSG00000197275,ENSG00000173334,ENSG00000155897,ENSG00000160957,ENSG00000186638,ENSG00000165304,ENSG00000169071,ENSG00000165029,ENSG00000090889,ENSG00000186871"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","false","8.232795190635284e-7","6.084452688509689","1853","484","86","20212","ENSG00000171793,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000162595,ENSG00000097046,ENSG00000169418,ENSG00000118193,ENSG00000077152,ENSG00000117650,ENSG00000163050,ENSG00000170312,ENSG00000138182,ENSG00000138160,ENSG00000138185,ENSG00000148773,ENSG00000166833,ENSG00000121621,ENSG00000123416,ENSG00000167553,ENSG00000123374,ENSG00000126215,ENSG00000185100,ENSG00000156970,ENSG00000051180,ENSG00000103710,ENSG00000137807,ENSG00000127564,ENSG00000166851,ENSG00000079616,ENSG00000074370,ENSG00000178999,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000108984,ENSG00000108950,ENSG00000176170,ENSG00000167900,ENSG00000108106,ENSG00000169679,ENSG00000115267,ENSG00000115687,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000175063,ENSG00000087586,ENSG00000157601,ENSG00000100297,ENSG00000168032,ENSG00000044524,ENSG00000051341,ENSG00000169860,ENSG00000113810,ENSG00000163918,ENSG00000068078,ENSG00000138778,ENSG00000142731,ENSG00000164116,ENSG00000071539,ENSG00000112984,ENSG00000204410,ENSG00000237649,ENSG00000112742,ENSG00000197594,ENSG00000164776,ENSG00000004799,ENSG00000196584,ENSG00000168078,ENSG00000104738,ENSG00000197275,ENSG00000173334,ENSG00000155897,ENSG00000160957,ENSG00000186638,ENSG00000165304,ENSG00000169071,ENSG00000165029,ENSG00000188229,ENSG00000090889,ENSG00000186871"
"GO:MF","DNA binding","GO:0003677","true","0.000002248064675659568","5.648191198495318","2532","484","106","20212","ENSG00000187634,ENSG00000007968,ENSG00000127423,ENSG00000092853,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000184270,ENSG00000174371,ENSG00000065328,ENSG00000148773,ENSG00000168496,ENSG00000175592,ENSG00000262406,ENSG00000188486,ENSG00000111206,ENSG00000184271,ENSG00000139618,ENSG00000165821,ENSG00000151322,ENSG00000100479,ENSG00000198554,ENSG00000126215,ENSG00000051180,ENSG00000137804,ENSG00000104177,ENSG00000140525,ENSG00000005513,ENSG00000079616,ENSG00000091651,ENSG00000167513,ENSG00000065320,ENSG00000176208,ENSG00000131747,ENSG00000131470,ENSG00000012048,ENSG00000125319,ENSG00000154920,ENSG00000136492,ENSG00000176170,ENSG00000276043,ENSG00000127528,ENSG00000213999,ENSG00000184635,ENSG00000213988,ENSG00000197134,ENSG00000229676,ENSG00000011332,ENSG00000269825,ENSG00000178295,ENSG00000115163,ENSG00000168874,ENSG00000153234,ENSG00000115267,ENSG00000123485,ENSG00000125885,ENSG00000286235,ENSG00000093009,ENSG00000100297,ENSG00000151090,ENSG00000051341,ENSG00000113810,ENSG00000163918,ENSG00000114315,ENSG00000145335,ENSG00000164104,ENSG00000109674,ENSG00000113368,ENSG00000164330,ENSG00000213347,ENSG00000164379,ENSG00000124610,ENSG00000286522,ENSG00000278463,ENSG00000277224,ENSG00000277775,ENSG00000273983,ENSG00000278588,ENSG00000196787,ENSG00000274997,ENSG00000276368,ENSG00000276903,ENSG00000275221,ENSG00000233822,ENSG00000184357,ENSG00000275126,ENSG00000278677,ENSG00000274641,ENSG00000204410,ENSG00000010030,ENSG00000203760,ENSG00000106462,ENSG00000196584,ENSG00000168453,ENSG00000179388,ENSG00000104738,ENSG00000185697,ENSG00000197275,ENSG00000160957,ENSG00000198963,ENSG00000165244,ENSG00000090889,ENSG00000186871"
"GO:MF","ribonucleotide binding","GO:0032553","false","0.0000030625720969093823","5.5139136786530925","1936","484","87","20212","ENSG00000171793,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000162595,ENSG00000097046,ENSG00000116882,ENSG00000169418,ENSG00000118193,ENSG00000077152,ENSG00000117650,ENSG00000163050,ENSG00000170312,ENSG00000138182,ENSG00000138160,ENSG00000138185,ENSG00000148773,ENSG00000166833,ENSG00000121621,ENSG00000123416,ENSG00000167553,ENSG00000123374,ENSG00000126215,ENSG00000185100,ENSG00000156970,ENSG00000051180,ENSG00000103710,ENSG00000137807,ENSG00000127564,ENSG00000166851,ENSG00000079616,ENSG00000074370,ENSG00000178999,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000108984,ENSG00000108950,ENSG00000176170,ENSG00000167900,ENSG00000108106,ENSG00000169679,ENSG00000115267,ENSG00000115687,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000175063,ENSG00000087586,ENSG00000157601,ENSG00000100297,ENSG00000168032,ENSG00000044524,ENSG00000051341,ENSG00000169860,ENSG00000113810,ENSG00000163918,ENSG00000068078,ENSG00000138778,ENSG00000142731,ENSG00000164116,ENSG00000071539,ENSG00000112984,ENSG00000204410,ENSG00000237649,ENSG00000112742,ENSG00000197594,ENSG00000164776,ENSG00000004799,ENSG00000196584,ENSG00000168078,ENSG00000104738,ENSG00000197275,ENSG00000173334,ENSG00000155897,ENSG00000160957,ENSG00000186638,ENSG00000165304,ENSG00000169071,ENSG00000165029,ENSG00000188229,ENSG00000090889,ENSG00000186871"
"GO:MF","microtubule motor activity","GO:0003777","false","0.0000036446313389638318","5.438346394794842","68","484","13","20212","ENSG00000142945,ENSG00000118193,ENSG00000138182,ENSG00000138160,ENSG00000121621,ENSG00000137807,ENSG00000079616,ENSG00000186185,ENSG00000138778,ENSG00000112984,ENSG00000237649,ENSG00000186638,ENSG00000090889"
"GO:MF","catalytic activity, acting on DNA","GO:0140097","false","0.000004011389473553059","5.396705169481004","248","484","24","20212","ENSG00000085999,ENSG00000174371,ENSG00000166833,ENSG00000168496,ENSG00000100479,ENSG00000126215,ENSG00000051180,ENSG00000176208,ENSG00000131747,ENSG00000154920,ENSG00000136492,ENSG00000178295,ENSG00000125885,ENSG00000100297,ENSG00000051341,ENSG00000163918,ENSG00000138658,ENSG00000109674,ENSG00000204410,ENSG00000196584,ENSG00000104738,ENSG00000197275,ENSG00000160957,ENSG00000186871"
"GO:MF","purine ribonucleotide binding","GO:0032555","false","0.000004345377674376328","5.361972471282177","1919","484","86","20212","ENSG00000171793,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000162595,ENSG00000097046,ENSG00000169418,ENSG00000118193,ENSG00000077152,ENSG00000117650,ENSG00000163050,ENSG00000170312,ENSG00000138182,ENSG00000138160,ENSG00000138185,ENSG00000148773,ENSG00000166833,ENSG00000121621,ENSG00000123416,ENSG00000167553,ENSG00000123374,ENSG00000126215,ENSG00000185100,ENSG00000156970,ENSG00000051180,ENSG00000103710,ENSG00000137807,ENSG00000127564,ENSG00000166851,ENSG00000079616,ENSG00000074370,ENSG00000178999,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000108984,ENSG00000108950,ENSG00000176170,ENSG00000167900,ENSG00000108106,ENSG00000169679,ENSG00000115267,ENSG00000115687,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000175063,ENSG00000087586,ENSG00000157601,ENSG00000100297,ENSG00000168032,ENSG00000044524,ENSG00000051341,ENSG00000169860,ENSG00000113810,ENSG00000163918,ENSG00000068078,ENSG00000138778,ENSG00000142731,ENSG00000164116,ENSG00000071539,ENSG00000112984,ENSG00000204410,ENSG00000237649,ENSG00000112742,ENSG00000197594,ENSG00000164776,ENSG00000004799,ENSG00000196584,ENSG00000168078,ENSG00000104738,ENSG00000197275,ENSG00000173334,ENSG00000155897,ENSG00000160957,ENSG00000186638,ENSG00000165304,ENSG00000169071,ENSG00000165029,ENSG00000188229,ENSG00000090889,ENSG00000186871"
"GO:MF","anaphase-promoting complex binding","GO:0010997","true","0.000007685461711003835","5.114330036750064","9","484","6","20212","ENSG00000092853,ENSG00000117399,ENSG00000162063,ENSG00000166851,ENSG00000108106,ENSG00000112029"
"GO:MF","purine nucleotide binding","GO:0017076","false","0.000010892054825012316","4.962890181311104","2021","484","88","20212","ENSG00000171793,ENSG00000142945,ENSG00000085999,ENSG00000085840,ENSG00000162595,ENSG00000097046,ENSG00000169418,ENSG00000118193,ENSG00000077152,ENSG00000117650,ENSG00000163050,ENSG00000170312,ENSG00000138182,ENSG00000138160,ENSG00000138185,ENSG00000148773,ENSG00000166833,ENSG00000121621,ENSG00000123416,ENSG00000167553,ENSG00000123374,ENSG00000126215,ENSG00000185100,ENSG00000156970,ENSG00000051180,ENSG00000103710,ENSG00000137807,ENSG00000127564,ENSG00000166851,ENSG00000079616,ENSG00000074370,ENSG00000178999,ENSG00000176208,ENSG00000131747,ENSG00000186185,ENSG00000136492,ENSG00000141338,ENSG00000154258,ENSG00000154262,ENSG00000108984,ENSG00000108950,ENSG00000176170,ENSG00000167900,ENSG00000108106,ENSG00000169679,ENSG00000115267,ENSG00000115687,ENSG00000125885,ENSG00000286235,ENSG00000154930,ENSG00000175063,ENSG00000087586,ENSG00000157601,ENSG00000100297,ENSG00000168032,ENSG00000044524,ENSG00000051341,ENSG00000169860,ENSG00000113810,ENSG00000163918,ENSG00000068078,ENSG00000138778,ENSG00000142731,ENSG00000164116,ENSG00000071539,ENSG00000228716,ENSG00000112984,ENSG00000204410,ENSG00000204228,ENSG00000237649,ENSG00000112742,ENSG00000197594,ENSG00000164776,ENSG00000004799,ENSG00000196584,ENSG00000168078,ENSG00000104738,ENSG00000197275,ENSG00000173334,ENSG00000155897,ENSG00000160957,ENSG00000186638,ENSG00000165304,ENSG00000169071,ENSG00000165029,ENSG00000188229,ENSG00000090889,ENSG00000186871"
